address,name,module,confidence,evidence
0x0049ED98,g_FormatInfoArray,text,observed,Exact target data at 0x0049ED98 and IDA xref from 0x00431CEC; seven 24-byte D3D format records
0x004903F8,IID_IDirectSoundNotify,sound,observed,Exact target GUID operand in CStreamingSound InitSoundBuffers
0x00495290,CSound_vtable,sound,observed,Exact target vptr assignments in CSound constructor and destructor
0x0049FC88,g_JoystickCaps,input,observed,Exact target operand in Controller GetJoystickCaps
0x004B9E44,g_RenderStateOwner,render,observed,Exact target operand in ScreenEffect viewport and full-fade functions
0x00575958,g_D3dDevice,render,observed,Exact target operand in TextHelper and ScreenEffect functions
0x00575A18,g_Viewport,render,observed,Exact target viewport field operands in ScreenEffect functions
0x00575A30,g_PresentParameters,render,observed,Exact target reset parameter operand in ScreenEffect Clear
0x0049EEC8,g_EffectsColorTable,bullet,observed,Exact target table address assigned by BulletManager RegisterChain
0x0049EF38,g_EffectsColor,bullet,observed,Exact target pointer storage written by BulletManager RegisterChain
0x00626218,g_Chain,chain,observed,Exact target this pointer used by Chain methods from BulletManager
0x0062F934,g_BulletManagerDrawChain,bullet,observed,Exact target callback-chain fields written by BulletManager RegisterChain
0x0062F958,g_BulletManager,bullet,observed,Exact target zero-initialized manager storage and embedded bullet base
0x009A9ABC,g_BulletManagerCalcChain,bullet,observed,Exact target callback-chain fields written by BulletManager RegisterChain
0x00626270,g_GrazeState,player,observed,Exact target this pointer used by Player death-state call
0x012FE250,g_EffectManager,player,observed,Exact target this pointer used by Player particle calls
0x004BA0D8,g_SoundPlayer,sound,observed,Exact target this pointer used by Player death sound call
0x00495120,g_TargetPbgSeekBegin,pbg,observed,Target-owned zero seek-origin value loaded by CPbgFile and PbgArchive entry read paths
0x0049EA70,g_TargetPbgOpenReadMode,pbg,observed,Target-owned pointer global loaded before IPbgFile Open in PbgArchive ReadDecompressEntry; its observed pointee is the r mode literal
